ID,P.Value,logFC,Gene.symbol
217628_at,0.012041,1.09540593,CLIC5
220866_at,0.0120943,1.67587614,ADAMTS6
215301_at,0.0121746,1.46474024,SYCE1L
213641_at,0.0122674,0.98326285,ZNF500
220893_at,0.0123575,-1.38551399,LOC57399
205070_at,0.0123842,0.6162328,ING3
204288_s_at,0.0124134,-0.740521,SORBS2
221760_at,0.0124169,-0.80107161,MAN1A1
219647_at,0.0124968,-0.99831357,POPDC2
210511_s_at,0.0126737,2.54828897,INHBA
217177_s_at,0.0127877,1.11494196,PTPRB
202746_at,0.0128919,-0.88641976,ITM2A
205113_at,0.0129019,-1.10141766,NEFM
203397_s_at,0.0129071,0.87086517,GALNT3
205337_at,0.0129093,-1.22785714,DCT
215656_at,0.0129365,2.08631072,LMAN2
205344_at,0.0129519,-1.73634061,CSPG5
203907_s_at,0.0129556,-0.93308777,IQSEC1
218279_s_at,0.013033,1.80402214,HIST2H2AA4///HIST2H2AA3
203539_s_at,0.0130418,1.58690337,GFAP
212950_at,0.0131765,-0.79559001,ADGRF5
207046_at,0.0131914,1.2287968,HIST2H4B///HIST4H4///HIST2H4A///HIST1H4L///HIST1H4E///HIST1H4B///HIST1H4H///HIST1H4C///HIST1H4J///HIST1H4K///HIST1H4F///HIST1H4D///HIST1H4A///HIST1H4I
215583_at,0.0132769,1.44045061,TMEM63A
202309_at,0.0133682,-0.70878049,MTHFD1
220745_at,0.0133951,0.89740284,IL19
219115_s_at,0.0134294,1.60525395,IL20RA
211205_x_at,0.0134489,1.3414248,PIP5K1A
220726_at,0.0134639,1.92439402,
220042_x_at,0.0134722,1.28841578,HIVEP3
220886_at,0.0134991,1.1582617,GABRQ
213317_at,0.0135215,-1.04718872,CLIC5
209414_at,0.013528,0.80007002,FZR1
221580_s_at,0.013532,-0.8227022,MIR1304///SNORD5///SNORA32///SNORA40///SNORA18///SNORA1///SNORA8///TAF1D
203548_s_at,0.0135742,1.80189478,LPL
212428_at,0.013648,-1.04326079,KIAA0368
219080_s_at,0.0136944,0.99739396,CTPS2
218069_at,0.0137029,-1.34862809,DCTPP1
211540_s_at,0.0137239,1.80723549,RB1
209777_s_at,0.01383,0.96194608,SLC19A1
220831_at,0.0138655,-1.43641229,GCNT4
205056_s_at,0.0138678,0.64797028,GPR162
40612_at,0.0138785,-0.82044088,DOPEY1
203527_s_at,0.0139138,-2.02319007,APC
214159_at,0.0139859,1.36763371,PLCE1
206247_at,0.0140363,1.1560897,MICB
216101_at,0.0140593,1.19796374,
211350_s_at,0.0141031,-1.38408584,KIF25-AS1
216686_at,0.0141557,2.37918573,ANKRD36BP2
214021_x_at,0.0141778,0.84053233,ITGB5
61732_r_at,0.0141798,1.35945095,IFT74
203003_at,0.0142426,1.22862174,MEF2D
1316_at,0.0142652,0.92089346,THRA
210393_at,0.0142844,-1.34018215,LGR5
216534_at,0.0145091,1.12717462,
209616_s_at,0.0145219,1.65496727,LOC100653057///CES1
214593_at,0.0145375,-1.60499954,PIAS2
213771_at,0.0145603,0.70633755,IRF2BP1
221484_at,0.0145648,0.67548373,B4GALT5
208492_at,0.0145863,-1.37177347,RFXAP
217623_at,0.0146735,1.65666301,MYLK3
211675_s_at,0.0147054,0.80524973,MDFIC
208287_at,0.0147589,1.99705062,HCG9
211677_x_at,0.0148565,-1.11962918,CADM3
210292_s_at,0.0148572,-1.2269543,PCDH11Y///PCDH11X
213238_at,0.0148802,0.61647344,ATP10D
211696_x_at,0.014981,-1.52997415,HBB
207565_s_at,0.0149946,1.17568627,MR1
218902_at,0.0150194,0.83758901,NOTCH1
221401_at,0.0150905,1.7173134,CACNG5
220314_at,0.0151593,1.5815862,HSFX1///HSFX2
210666_at,0.0151933,1.07083237,IDS
203816_at,0.0152056,-1.57301847,DGUOK
217010_s_at,0.0152158,1.38248504,CDC25C
221396_at,0.0152288,1.17608923,TAS2R7
219456_s_at,0.0154101,1.67398564,RIN3
211476_at,0.0154568,1.4982206,MYOZ2
216828_at,0.0154934,1.89721271,LOC100505874///MLLT10P1
222196_at,0.0155321,1.88875443,LOC389906
39966_at,0.0155407,-0.87883753,CSPG5
203809_s_at,0.0155432,1.26175704,AKT2
216189_at,0.0155603,1.67194758,
216801_at,0.0155859,-1.08033665,CROCC
216293_at,0.0156246,1.21307345,CLTA
214517_at,0.0156366,0.85638317,KRTAP5-9
205924_at,0.0156434,-2.16079459,RAB3B
215839_at,0.0156706,-1.1535503,LILRA5
222365_at,0.0157162,0.60346376,TBCEL
217608_at,0.0157911,0.94667784,SREK1IP1
206136_at,0.0158068,0.8626418,FZD5
214518_at,0.0158165,1.83372584,PDHA2
207965_at,0.0158397,1.90244619,NEUROG3
217733_s_at,0.0159058,-0.56515932,TMSB10
206882_at,0.0159896,1.52494157,SLC1A6
220122_at,0.0159955,-1.4492882,MCTP1
206017_at,0.0160135,-0.69460145,KIAA0319
203402_at,0.016039,-0.67866653,KCNAB2
217546_at,0.0160444,0.99573128,MT1M
219081_at,0.016092,0.7723812,ANKHD1-EIF4EBP3///ANKHD1
213710_s_at,0.0161006,-1.3682779,CALM1
222237_s_at,0.0161067,0.8329844,ZNF112
214448_x_at,0.0161148,-1.19049968,NFKBIB
206415_at,0.0161298,0.90304638,TLL1
206435_at,0.0161371,-0.74040148,B4GALNT1
202262_x_at,0.0161653,1.07182912,DDAH2
216494_at,0.0162686,1.77802065,
218759_at,0.0163471,-1.25086305,DVL2
206594_at,0.0163718,1.14359993,PASK
219327_s_at,0.0163724,1.73223224,GPRC5C
208318_s_at,0.0164157,1.07903201,XYLB
218456_at,0.0164556,-0.6095954,CAPRIN2
214248_s_at,0.0164566,1.46474624,TRIM2
210368_at,0.0164599,1.65579741,PCDHGA8
200946_x_at,0.0165332,-0.73849564,GLUD1
218009_s_at,0.0165359,-1.55482871,PRC1
220198_s_at,0.0165607,2.10480126,EIF5A2
217518_at,0.0165894,1.0310759,MYOF
222226_at,0.0165969,1.49146663,SAA3P
210990_s_at,0.016634,0.79642053,LAMA4
219104_at,0.0166714,-1.24293397,RNF141
216150_at,0.0168382,-1.5997512,
213430_at,0.0168538,0.8933554,RUFY3
217445_s_at,0.0169304,1.62989203,GART
215635_at,0.0170365,1.56276743,
208139_s_at,0.0170845,1.37709319,
213834_at,0.0171596,-0.73923952,IQSEC3
219630_at,0.017165,-1.3474416,PDZK1IP1
213474_at,0.0172225,0.73130914,KCTD7///RABGEF1
211414_at,0.0172522,0.86160265,GLS
212611_at,0.0172838,-0.64124372,DTX4
204885_s_at,0.0173278,1.38692927,MSLN
221912_s_at,0.0173714,-1.28741599,CCDC28B
209897_s_at,0.0174018,-0.87912406,SLIT2
207222_at,0.0174575,1.00693589,LOC100652777///PLA2G10
221089_at,0.0175259,0.73273728,NOX3
216583_x_at,0.0176206,-1.10882364,
206558_at,0.0177007,0.88451583,SIM2
200917_s_at,0.0177308,0.97841182,SRPRA
206852_at,0.0177431,-1.29559075,EPHA7
207124_s_at,0.0178057,-1.6403668,GNB5
214961_at,0.0178234,-0.88786971,MTUS2
221178_at,0.0178521,1.50144467,BAIAP2L2
214874_at,0.0178673,-0.95326257,PKP4
206067_s_at,0.0179457,1.27739588,WT1
215522_at,0.017967,-0.97671328,SORCS3
208547_at,0.0180282,1.75586235,HIST1H2BB
213539_at,0.0180412,1.15054365,CD3D
208404_x_at,0.0180435,-1.19936772,KCNJ5
215713_at,0.0180455,2.23394302,
219513_s_at,0.0181,1.36820088,SH2D3A
210772_at,0.0181296,-1.41978092,FPR2
210469_at,0.0182008,1.18428928,DLG5
210239_at,0.0183785,1.61136294,IRX5
203470_s_at,0.0183957,1.07483025,PLEK
220659_s_at,0.0185089,-0.79913233,C7orf43
210546_x_at,0.018592,1.31537788,CTAG1A///CTAG1B
216442_x_at,0.0185967,-0.81296389,FN1
221225_at,0.0186328,-1.53758862,DCAKD
211622_s_at,0.0187685,-1.64479551,ARF3
213515_x_at,0.0188406,-1.30497443,HBG2///HBG1
210837_s_at,0.0188869,1.04440043,PDE4D
217462_at,0.0189541,1.37044755,MYRF
222342_at,0.018963,1.99891338,
210972_x_at,0.0189817,0.86403355,TRAC///TRAJ17///TRAV20///TRDV2
215486_at,0.0190494,1.43411541,PRPS1L1
