ID,P.Value,logFC,Gene.symbol
202693_s_at,0.0234643,-0.8969542,STK17A
201137_s_at,0.0234946,0.8761204,HLA-DPB1
218279_s_at,0.0235134,1.5457258,HIST2H2AA4///HIST2H2AA3
207972_at,0.0235247,1.3283493,GLRA1
222320_at,0.0236942,0.8517457,
215043_s_at,0.0237889,1.0090556,GUSBP3///SMA5///SMA4
216747_at,0.0238777,1.6542852,APBB2
204727_at,0.0238896,-0.7079799,WDHD1
204205_at,0.0239855,1.5299198,APOBEC3G
207167_at,0.0240747,1.0727986,CD101
206240_s_at,0.0240929,0.6870007,ZNF136
203115_at,0.0241285,0.5820764,FECH
214670_at,0.0244294,0.7919865,ZKSCAN1
213690_s_at,0.0244538,1.1661635,PTOV1-AS2
204455_at,0.0245394,1.3394494,DST
208211_s_at,0.0245724,-0.8199767,ALK
206324_s_at,0.0246783,1.0913534,DAPK2
207327_at,0.0247543,1.3014424,EYA4
207423_s_at,0.0248304,1.247628,ADAM20
214685_at,0.0249358,1.3419299,NOP14-AS1
215917_at,0.0250058,1.5010051,RAD21L1
222315_at,0.0250777,-1.4442947,LOC100996756
213164_at,0.0251834,-0.9959965,SLC5A3
208492_at,0.0252212,-1.3615136,RFXAP
210656_at,0.025261,-1.6043171,EED
212040_at,0.0252995,0.5198473,TGOLN2
215618_at,0.0254387,1.1704531,RSU1
206603_at,0.0255071,-1.3171365,SLC2A4
208455_at,0.025511,0.9057105,NECTIN1
218861_at,0.0255599,1.1084918,RNF25
203372_s_at,0.0255801,0.6487298,SOCS2
210121_at,0.0255905,-0.6741524,B3GALT2
215878_at,0.0256264,1.7969331,ITGB1
206637_at,0.0256405,1.6112199,P2RY14
210303_at,0.025662,-1.3927635,MAB21L2
205616_at,0.0258486,-1.227635,GALNT8///KCNA6
215073_s_at,0.0259021,0.7286209,NR2F2
216248_s_at,0.0259151,-0.9291623,NR4A2
214633_at,0.0259608,0.7601688,SOX3
219730_at,0.0260121,1.2940599,LOC100996782///MED18
202903_at,0.0260525,0.7501029,LSM5
208040_s_at,0.0260654,0.7118398,MYBPC3
202354_s_at,0.0260669,1.1035005,GTF2F1
