ID,P.Value,logFC,Gene.symbol
219247_s_at,0.0149595,-0.9887053,ZDHHC14
201210_at,0.0149701,0.6313859,DDX3X
216481_at,0.0150846,-0.5244472,GRIP2
204111_at,0.0151503,1.8900953,HNMT
205214_at,0.0152313,-1.5240291,STK17B
208963_x_at,0.0153913,1.2805471,MIR1908///FADS1
205150_s_at,0.0154951,0.6777045,TRIL
205904_at,0.015544,0.6644989,MICA
206131_at,0.0155576,-1.1343963,CLPS
216014_s_at,0.0157303,-1.0611008,ZXDB///ZXDA
214199_at,0.0157498,0.5151267,SFTPD
215406_at,0.0158547,1.5418606,
217625_x_at,0.0159047,0.9723809,LINC00963
207034_s_at,0.0159073,0.9897233,GLI2
207530_s_at,0.0159965,-0.9871649,CDKN2B
206482_at,0.0160164,1.2730895,PTK6
217467_at,0.0160221,1.421086,BTF3P13
219210_s_at,0.0160334,-1.2490184,RAB8B
203209_at,0.0160373,-0.8335467,RFC5
220004_at,0.0161896,1.8636244,DDX43
216677_at,0.0161903,0.9198337,ZNF154
212249_at,0.0162091,0.9025764,PIK3R1
216970_at,0.0162248,-1.0622711,RGS7
214493_s_at,0.0163947,1.5116829,PATJ
215342_s_at,0.0164325,1.6676127,RABGAP1L
207771_at,0.016446,-0.7911132,SLC5A2
206552_s_at,0.0164461,-1.6653903,TAC1
220300_at,0.0164628,1.1487361,RGS3
220528_at,0.016491,1.1313687,VNN3
214705_at,0.0165024,1.6114919,PATJ
213067_at,0.0167106,-1.4221963,MYH10
205925_s_at,0.0167329,-1.7399399,RAB3B
212274_at,0.0167356,0.8310625,LPIN1
211687_x_at,0.0168133,1.1247406,KIR3DL1
221714_s_at,0.0170104,-1.0157762,RRN3P1
208322_s_at,0.0172955,1.9744762,ST3GAL1
207511_s_at,0.017344,1.1856352,CNPPD1
214896_at,0.0173637,-1.5242182,LINC01314
208696_at,0.0174069,-0.6323674,CCT5
214177_s_at,0.0174125,0.8072615,PBXIP1
211986_at,0.0174558,0.8778456,AHNAK
206367_at,0.017617,-0.7632599,REN
218931_at,0.0176602,-1.5090599,RAB17
213853_at,0.0176631,-0.6963174,DNAJC24
202445_s_at,0.0176688,0.608263,NOTCH2
213286_at,0.0176893,1.5125737,ZFR
213472_at,0.0177835,1.7436064,HNRNPH1
222332_at,0.017922,1.9150795,
213818_x_at,0.0179262,1.0116758,TMEM223
216858_x_at,0.0179838,0.914807,
214517_at,0.0180226,0.6145908,KRTAP5-9
212013_at,0.0180629,1.3097561,PXDN
202693_s_at,0.0180669,-0.5485634,STK17A
203244_at,0.0180809,0.7039412,PEX5
221223_x_at,0.018083,-1.1352444,CISH
215462_at,0.0182419,0.6523904,PLK3
220510_at,0.0182949,-0.6296674,RHBG
213862_at,0.0184422,-1.3450902,
204044_at,0.0185372,1.0204079,QPRT
204712_at,0.0185896,-1.3530866,WIF1
213852_at,0.0186053,0.4605589,RBM8A
218629_at,0.018753,1.1999009,SMO
203421_at,0.0188413,1.0552034,TP53I11
205306_x_at,0.0188471,-0.91426,KMO
202188_at,0.0188509,-1.7779142,NUP93
206803_at,0.0189473,3.0402143,PDYN
218081_at,0.0189484,1.040398,C20orf27
216413_at,0.0191204,1.5332721,
210510_s_at,0.0191893,-0.866092,NRP1
214301_s_at,0.0193024,1.018915,DPYSL4
221248_s_at,0.0193351,1.6127337,WHSC1L1
219724_s_at,0.0193441,1.1820522,TESPA1
220303_at,0.019451,1.3249775,PDZD3
221366_at,0.0194718,0.7508393,NKX6-1
218416_s_at,0.0195101,0.6663517,SLC48A1
210454_s_at,0.0196451,-0.7517418,KCNJ6
200793_s_at,0.019689,-0.5518552,ACO2
33148_at,0.0196946,0.6021091,ZFR
213847_at,0.0197806,-0.9318757,PRPH
221416_at,0.0197837,0.6308895,PLA2G2F
220615_s_at,0.0197988,-1.3392946,FAR2
213316_at,0.0199327,0.7304273,KIAA1462
202046_s_at,0.0199649,0.6263801,ARHGAP35
200971_s_at,0.0200306,-0.6739286,SERP1
214417_s_at,0.020081,0.7497763,FETUB
221070_s_at,0.0201351,0.8455532,CCAR2
201983_s_at,0.0201383,0.816333,EGFR
221521_s_at,0.0202173,-1.635938,GINS2
220677_s_at,0.0202181,1.1448232,ADAMTS8
219216_at,0.0202285,-0.7770399,ETAA1
209377_s_at,0.0202356,0.5476358,HMGN3
209611_s_at,0.020294,-0.574098,SLC1A4
217699_at,0.0202997,-1.1030736,
215387_x_at,0.0204645,0.7214052,
220130_x_at,0.0204668,-1.1656077,LTB4R2
205005_s_at,0.0204678,0.5732796,NMT2
205196_s_at,0.0204959,0.8989061,AP1S1
216022_at,0.0205093,0.8004058,
215777_at,0.020638,1.1429934,
211162_x_at,0.0207148,1.922239,SCD
201620_at,0.0208291,0.5558266,MBTPS1
211177_s_at,0.0208696,0.7795992,TXNRD2
215358_x_at,0.0209555,1.3703463,ZNF37BP
210369_at,0.0210212,1.0131469,SWAP70
216239_at,0.0210277,-1.6081084,BBS9
217113_at,0.0210497,1.5926423,AMACR
201228_s_at,0.0210825,-1.2654903,ARIH2
208492_at,0.0211515,-1.4001695,RFXAP
208398_s_at,0.0212456,-0.5620066,TBPL1
208914_at,0.0213638,0.596558,GGA2
211046_at,0.021366,-1.2793426,KCNH6
219829_at,0.0213689,-1.0297361,ITGB1BP2
207712_at,0.0213852,1.4158556,BAGE
201667_at,0.0214047,0.698506,GJA1
204389_at,0.0214074,0.6208995,MAOA
219507_at,0.0214264,0.7985592,RSRC1
216450_x_at,0.021446,-0.862739,HSP90B1
219648_at,0.0214981,0.5940346,MREG
206297_at,0.0215052,0.8227462,CTRC
214877_at,0.0215541,-2.0604999,CDKAL1
207662_at,0.0216067,1.1417915,TBX1
