ID,P.Value,logFC,Gene.symbol
208019_at,0.0075657,-2.4493006,ZNF157
236828_at,0.0075954,-3.0639015,
231720_s_at,0.0076186,2.3126334,JAM3
244769_at,0.0076386,2.5566305,LOC101929964///LINC01184
241447_at,0.0076638,-2.1433466,ING5
219270_at,0.0076765,-2.4628466,CHAC1
211660_at,0.0077022,1.7621911,POU2F2
218726_at,0.0077078,-2.670543,HJURP
1567081_x_at,0.0077147,-2.419964,CLN6
239215_at,0.007768,-1.9321422,LOC100289495
228897_at,0.0077795,-1.8007728,DERL3
239741_at,0.007782,-1.8814065,PYGO1
243315_at,0.0077838,2.073476,
1562217_at,0.0077899,-2.3005878,LOC646383
210410_s_at,0.00779,1.6053636,MSH5-SAPCD1///SAPCD1///MSH5
243462_s_at,0.0077913,2.5577881,
217502_at,0.0077921,2.1456305,IFIT2
1562903_at,0.0078154,-2.2825333,FAM86B3P
1565778_at,0.0078293,1.4796047,ABCA8
218089_at,0.0078349,-2.6430845,AAR2
213611_at,0.0078485,-1.8571519,AQP5
1562502_at,0.0078783,-3.3124884,
1561208_at,0.0079015,2.2611217,
243051_at,0.0079103,-1.6001076,CNIH4
214237_x_at,0.007935,-2.7013344,PAWR
235549_at,0.0079354,2.8957602,RNF144B
234856_at,0.0079507,-2.4668984,
237149_at,0.0079707,-2.4277998,
243693_at,0.0079746,-2.2682766,
234035_at,0.007997,1.7200502,HNRNPM
206731_at,0.0080106,-1.324948,CNKSR2
238213_at,0.0080108,-2.8780078,MIR5188
1560164_at,0.0080401,-2.4702526,HRAT13
1569325_at,0.0080462,1.7583625,ARPC5
221085_at,0.0080541,-3.052332,TNFSF15
202878_s_at,0.0080696,1.9728434,CD93
230514_s_at,0.0081548,-1.7381694,LYZL2///LYZL1
225047_at,0.0081573,-1.6112678,NUP58
219341_at,0.0081682,-1.7402741,CLN8
243243_at,0.0082176,-2.9242928,GPC3
235499_at,0.0082504,-2.2196648,LOC728743
209749_s_at,0.008259,-2.3236444,ACE
201895_at,0.0082859,2.0071903,ARAF
221183_at,0.0082884,-2.4644928,LOC100507388
218601_at,0.0082912,-2.0063352,URGCP
244059_at,0.0083167,-2.3747202,
244713_at,0.0083903,2.0820325,
221327_s_at,0.0083949,-2.394067,OPN1MW3///OPN1MW2///OPN1LW///OPN1MW
219454_at,0.0085515,-2.7874085,EGFL6
232675_s_at,0.0085848,-2.7226553,UCKL1
240258_at,0.0085883,2.0124648,ENO1
1569021_at,0.0085975,-1.3162765,PIK3C2A
212619_at,0.0086021,2.50211,NEMP1
1566441_at,0.0086194,-1.7823281,
234964_at,0.0086487,2.2811321,YME1L1
204789_at,0.0086527,2.3707706,FMNL1
226014_at,0.0086538,1.2272298,
210798_x_at,0.0086685,-1.7702079,MASP2
1563033_x_at,0.008718,-2.4889918,
244458_at,0.0087299,1.7763397,
216009_at,0.0087328,1.4635642,SLC39A9
214704_at,0.0087396,-2.3502861,TCF25
219047_s_at,0.0087396,-2.1775043,ZNF668
236565_s_at,0.008763,1.5881055,LARP6
203399_x_at,0.0087905,-2.3093313,PSG11///PSG3
1558201_s_at,0.0087968,-1.4901412,SLC4A1AP
236365_at,0.0087985,1.4364133,AMACR
1556992_at,0.0088025,-2.5633006,LOC550113///UBA6-AS1
221657_s_at,0.0088837,-2.1219421,ASB6
1553526_at,0.0088848,-1.8799344,NLRP8
235673_at,0.0089241,1.929922,
201730_s_at,0.0089329,1.6313345,TPR
211380_s_at,0.0089347,1.8989841,PRKG1
1554780_a_at,0.0089374,1.9467214,PHTF2
225360_at,0.0089403,1.9015459,TRABD
1558630_at,0.0089505,2.098863,DLGAP4-AS1
234847_at,0.0089798,-2.7830858,LINC00309
204728_s_at,0.0089803,-1.9103513,WDHD1
211459_at,0.0089831,-1.7404815,
242650_at,0.0089878,1.5587855,
234519_at,0.0090408,-2.1923838,NOBOX
244283_x_at,0.0090648,1.8438735,
205571_at,0.0090822,1.8923895,LIPT1
233735_at,0.009085,2.8389015,
1559060_a_at,0.0091399,2.1836883,FNIP1
211332_x_at,0.0091658,1.785164,HFE
1558820_a_at,0.0091776,-1.8686946,CCDC178
238144_s_at,0.009192,-2.0354183,
237301_at,0.0092331,-1.2124945,
229980_s_at,0.009308,1.3213325,SNX5
1556578_a_at,0.0093169,2.0401467,FLJ31945
202107_s_at,0.0093245,2.2604883,MCM2
210442_at,0.0093588,1.8387012,IL1RL1
208394_x_at,0.0093682,-2.4420702,ESM1
238670_at,0.0093808,-2.1200255,RAD18
205040_at,0.0093914,-1.7583537,ORM1
220147_s_at,0.0094315,1.3842003,FAM60A
237291_at,0.0094452,-2.0228147,PRORSD1P
219719_at,0.0094514,2.080193,HIGD1B
234301_s_at,0.0094642,-2.7904446,TFB1M
236986_at,0.009494,2.0991955,LINC00582
241063_at,0.0095052,1.9366976,
238419_at,0.0095735,2.2095838,PHLDB2
AFFX-M27830_3_at,0.0095865,-1.5064232,
207299_s_at,0.0096028,-1.979756,GRM1
219865_at,0.0096168,-1.7070113,LINC00339
1556914_at,0.009617,2.5789755,LOC100652911
210918_at,0.0096393,-2.0374128,
243616_at,0.00964,1.580177,
1557914_s_at,0.0096714,-2.5181015,ERVFH21-1
240749_at,0.0096941,1.908051,LOC105375075
240652_at,0.0097564,1.3029087,
241138_at,0.0097852,-2.4170313,
205153_s_at,0.00979,-2.9425133,CD40
1566042_at,0.0097912,-2.3929884,
223278_at,0.0097925,2.3693887,GJB2
1557329_at,0.0098596,2.2998657,
236035_at,0.0098653,-2.5308707,FZD1
206304_at,0.0098658,-1.9261125,MYBPH
240839_at,0.009927,1.9928682,
244280_at,0.0099311,-2.099171,LINC01013
230251_at,0.009968,-1.6682966,LINC00473
241647_x_at,0.0099792,-2.8219945,
1563130_a_at,0.0099817,1.3677859,
1568598_at,0.0099887,-1.5687624,KAZALD1
1553757_at,0.010001,2.6501579,IQCG
220447_at,0.0100351,-2.8637789,HRH3
225882_at,0.0101576,1.9341483,SLC35B4
222342_at,0.010159,-2.5299903,
217443_at,0.0101896,-2.0014643,LOC101927792
233756_at,0.0102696,1.752538,
1565937_a_at,0.0103262,-2.0547879,LMO3
226642_s_at,0.0103262,1.4150908,NUDCD2
226160_at,0.0103486,2.8194225,H6PD
1564319_at,0.0103601,1.7665132,FAM71E2
1566749_at,0.0103632,-2.5725713,
207032_s_at,0.0103828,-1.9020217,CRISP1
1560588_at,0.0103943,-2.065492,
205378_s_at,0.010406,-2.816191,ACHE
205512_s_at,0.0104494,2.1251756,AIFM1
210537_s_at,0.0104633,1.3269301,TADA2A
210631_at,0.0104684,2.6725482,NF1P9///NF1
217937_s_at,0.010479,1.8550105,HDAC7
231751_at,0.0104826,2.16417,ABCG8
211799_x_at,0.010502,2.033892,HLA-C
225530_at,0.0105175,-2.3321458,MOB3A
244688_at,0.0105215,-1.8862789,
215796_at,0.0105414,-2.7721001,
243193_at,0.0105772,-1.5581249,
213517_at,0.0106158,1.7415088,PCBP2
203602_s_at,0.0106285,-1.2323174,ZBTB17
216115_at,0.010644,-3.0809961,NF1P9///NF1
236997_at,0.0106675,2.3679861,LOC101928069
232142_at,0.0106735,-1.998953,ISY1
237603_at,0.0106895,-2.3647377,C1orf100
201053_s_at,0.0107104,1.5661542,PSMF1
1556929_at,0.0107147,-2.5143047,PAPOLG
1567861_at,0.0107217,-2.2645699,DNAH14
243703_x_at,0.0107225,-2.0189135,LIPE-AS1
231394_at,0.0107492,-2.0522535,PCDHB3
210220_at,0.010753,-1.8839644,FZD2
236831_at,0.0107553,-1.5585927,CCDC50
224244_s_at,0.0107647,-2.0704473,APOA5
230757_at,0.0107857,1.9765523,
204090_at,0.0108038,-1.6908149,STK19
214325_at,0.0108733,-2.3972005,GP2
239688_at,0.0108797,-1.4363798,SMC1A
217289_s_at,0.0108893,-1.6540193,SLC37A4
221089_at,0.0108932,-2.0086493,NOX3
216603_at,0.010901,-2.4735406,SLC7A8
233066_at,0.0109842,1.8725369,
220872_at,0.0110043,-2.5098315,PRO2964
1565080_at,0.0110085,-1.7650341,SRC
235923_at,0.0110092,2.1441214,VTI1A
225566_at,0.0110209,1.8397694,NRP2
227665_at,0.0110916,-1.2444819,
227294_at,0.0110919,-2.2604378,ZNF689
239025_at,0.0111171,1.8967348,
1557688_at,0.0111171,1.9850003,
223195_s_at,0.0111177,2.2663593,SESN2
235952_at,0.0111236,2.7114495,DGKH
205214_at,0.0111327,-1.6368067,STK17B
207934_at,0.0111867,-2.3913,RFPL1
239413_at,0.0111877,-1.5703681,CEP152
1552912_a_at,0.0112155,-3.0480741,IL23R
238075_at,0.0112261,1.7799168,CHEK1
217968_at,0.0112608,2.0543266,TSSC1
233295_at,0.0112657,2.6738815,VN1R108P
