ID,P.Value,logFC,Gene.symbol
1554228_a_at,0.00283667,-2.6308921,BAALC-AS2
204731_at,0.00284964,3.29042225,TGFBR3
239526_x_at,0.0028973,2.34366386,PTPN1
244283_x_at,0.00291686,1.94601725,
237579_at,0.00294676,-2.7107757,
1566437_at,0.00299039,-2.4020537,LOC283475
239433_at,0.00305701,-2.10939352,LRRC8E
1553094_at,0.00307365,-1.64997885,FLJ45513///TAC4
226711_at,0.00308385,1.29013862,FOXN2
210282_at,0.0031054,-2.74072055,ZMYM2
1561780_at,0.00310592,-2.57800463,
1563586_at,0.00313738,-2.23371704,LOC401324
211660_at,0.00316475,1.92142722,POU2F2
242250_at,0.00316806,-1.7617636,
1563559_at,0.00322047,-2.66667792,FMN1
240498_at,0.00325845,-2.24254701,
243394_at,0.00326834,1.6529405,
234002_at,0.00327961,-1.54443876,ABHD16B
236746_at,0.00329061,1.63279044,GALNT1
222782_s_at,0.00333388,-2.64674422,GMIP
40687_at,0.00333591,2.11185906,GJA4
212962_at,0.00334437,-2.61369826,SYDE1
243301_at,0.00334591,-2.66075533,COL22A1
220001_at,0.00334884,-2.89238642,PADI4
211211_x_at,0.00335377,-2.1388897,SH2D1A
228932_at,0.00335737,1.55153973,AGO3
226074_at,0.00336204,-2.66831604,PPM1M
1560823_at,0.00337608,-2.23364531,LOC340017
220141_at,0.00337911,1.53774359,C11orf63
1560175_at,0.00338427,-2.85250203,PPP4R1L
243315_at,0.00339514,2.11593885,
206986_at,0.00339854,-1.92184275,FGF18
244034_at,0.00342306,1.98968567,
241604_at,0.003426,2.36696123,ATP11A
228300_at,0.00346227,-2.53803073,FAM187A///CCDC103
1555772_a_at,0.00348523,-2.84574968,CDC25A
222377_at,0.00352679,-3.00996461,TBX10
238506_at,0.00357244,2.13156219,LRRC58
213807_x_at,0.00361427,-2.23348261,MET
1555203_s_at,0.00361964,-2.45566995,SLC44A4
240959_at,0.00362792,-2.27623987,
215072_x_at,0.00363862,-3.2682018,EDRF1
232245_at,0.00368927,-2.50049192,SLC25A34
216514_at,0.00371248,-2.52831996,
205980_s_at,0.00372334,-2.54049333,PRR5-ARHGAP8///ARHGAP8
227429_at,0.0037288,-2.76053118,CRACR2B
237519_at,0.00373031,2.40250095,
236899_at,0.00373475,2.8176504,
240336_at,0.00377182,-1.71323742,HBM
237902_at,0.00385189,-2.70751614,
221439_at,0.00385511,-2.60186284,RBBP9
242449_at,0.0038866,-2.33613029,
217066_s_at,0.00391155,-1.93670813,DMPK
1552684_a_at,0.00391674,2.54568673,SENP8
223278_at,0.00391821,2.47120115,GJB2
206507_at,0.00391861,1.95248323,ZSCAN12
235950_at,0.00392159,2.11550597,ZNF688
