ID,P.Value,logFC,Gene.symbol
225013_at,0.00431277,2.03552153,LZTS2
242427_at,0.00431286,1.65197782,WAC
215729_s_at,0.00432592,-2.00841605,VGLL1
215159_s_at,0.00434781,2.04341659,NADK
228714_at,0.00435331,2.74864356,LOC101927027
220141_at,0.00435378,1.63376333,C11orf63
231288_at,0.00436442,2.29856953,CCDC88C
236637_at,0.00437016,-2.64576993,TAS2R14
242501_at,0.0043754,-2.09699439,
1556872_s_at,0.00438996,2.27825016,IQSEC3
1555938_x_at,0.00440725,3.30469535,VIM
231791_at,0.00441421,-1.58169584,ASAH2B
240332_at,0.00441725,2.81974335,
212054_x_at,0.00442211,-2.09127341,TBC1D9B
241605_at,0.00443483,-2.63896743,TRUB1
223721_s_at,0.00444922,-2.04985041,DNAJC12
1560265_at,0.00449235,-3.09817924,GRIK2
214973_x_at,0.00449725,-1.82200315,IGHD
209692_at,0.00450995,2.16897498,EYA2
241107_at,0.00452755,-1.54022851,
238504_at,0.00453214,-1.82385869,SDHAF4
37117_at,0.00456165,-3.14076599,PRR5-ARHGAP8///ARHGAP8
227402_s_at,0.00459992,-2.55623896,UTP23
1494_f_at,0.00462792,2.33355309,CYP2A6
236854_at,0.00463732,-2.30748621,LINC00494
1556402_at,0.00464558,-2.54347599,
234365_at,0.00465283,-2.85834283,
236701_at,0.0046578,-2.11423251,GSG1L
204518_s_at,0.00467178,-2.18260976,PPIC
212264_s_at,0.0046963,2.14440415,WAPL
237387_at,0.00471843,-2.74507719,
236147_at,0.00481255,2.99648846,
220091_at,0.00482703,2.17126398,SLC2A6
244167_at,0.00486321,-1.95951947,
207357_s_at,0.00488359,1.96138841,GALNT10
227175_at,0.00488558,2.90964565,MCL1
1564482_at,0.00489297,-2.2769212,ATP5O
239546_at,0.00495621,2.36484693,LOC100131053
241338_at,0.00497368,-3.02585826,
1560610_at,0.00505472,-2.25152592,LOC101929621
230711_at,0.00506339,2.81929336,
206387_at,0.00506941,-2.01895694,CDX2
211782_at,0.00507571,-2.61657596,IDS
233157_x_at,0.00507675,3.75887736,CCDC114
243319_at,0.00509703,3.1363092,
1555002_at,0.00509711,2.81344108,LOC403312
1559298_a_at,0.00510211,2.62993095,SPATA41
229708_at,0.00510319,-2.44678948,TOR4A
210873_x_at,0.00516843,-2.43390228,APOBEC3A_B///APOBEC3A
237942_at,0.00517316,2.26196864,SNRK-AS1
1565741_at,0.00518288,2.35713081,LOC105369974
212202_s_at,0.00519618,1.48554009,TMEM87A
241772_at,0.00519663,-1.81009006,
226645_at,0.00519726,2.00862066,
202608_s_at,0.00520046,1.54066881,NDST1
224477_s_at,0.00523022,2.23489807,NUDT16L1
203235_at,0.0052768,-1.93186624,THOP1
236487_at,0.00528064,-2.03807851,LOC101927137///SCLT1
241222_at,0.00528707,-2.60754739,
216133_at,0.00532174,3.22827871,YME1L1
202966_at,0.00532435,-2.77574818,CAPN6
207672_at,0.00533551,2.31317574,RFX4
206473_at,0.00533674,-2.01997081,MBTPS2
213959_s_at,0.00535432,-1.39059314,RPGRIP1L
237139_at,0.00535661,-2.1105712,PDE9A
204201_s_at,0.00536065,1.27301929,PTPN13
229721_x_at,0.00538114,1.98759469,DERL3
235097_at,0.00541591,2.58773111,TRMT44
214942_at,0.00542481,-1.78557436,RBM34
242606_at,0.00545698,-2.01997919,
221412_at,0.00546859,-1.71948856,VN1R1
210052_s_at,0.00549286,-1.87560676,TPX2
235738_at,0.00549766,-2.91044585,
1559785_at,0.00550864,-2.29677171,TPPP2
223272_s_at,0.00551384,-2.36169773,NTPCR
1570594_at,0.00552249,-2.66680248,
237418_at,0.0055269,1.96796698,
211566_x_at,0.00553039,-1.84955995,BRE
205378_s_at,0.00553308,-2.7988247,ACHE
219260_s_at,0.00559443,-2.09927889,ELP5
1557799_at,0.00562414,-1.71114667,C11orf31
218691_s_at,0.00563628,2.76784255,PDLIM4
238604_at,0.00567525,1.39569517,
212229_s_at,0.00568751,-1.43387583,FBXO21
1555705_a_at,0.00570537,-2.00268016,CMTM3
213401_s_at,0.00571048,2.42388888,TBL1X
203490_at,0.00573232,-1.5732489,ELF4
223447_at,0.00577084,-2.90342355,REG4
206574_s_at,0.00579323,-1.78896346,PTP4A3
214169_at,0.00581304,-2.46030612,SUN1
230313_at,0.00583421,1.98751956,
217590_s_at,0.00584554,-2.46453005,TRPA1
234785_at,0.00584943,-2.92728812,
222790_s_at,0.00587318,-3.22344182,RSBN1
215120_s_at,0.00590281,2.09155768,SAMD4A
204471_at,0.00590433,-1.3438241,GAP43
217435_x_at,0.0059332,-1.9175979,
1569666_s_at,0.00599501,2.71479195,
214636_at,0.00599727,-2.4091477,CALCB
207884_at,0.00602212,-1.66385071,GUCY2D
212588_at,0.00603764,3.10362562,PTPRC
214486_x_at,0.00604994,1.72941405,CFLAR
214568_at,0.00605863,-2.37833412,TPSD1
216448_at,0.00607942,-1.94289675,
1562470_at,0.00608459,2.74811036,TCEANC2
1561581_at,0.006111,-2.39836735,
243462_s_at,0.00612335,2.65044385,
212730_at,0.00615912,1.5088462,SYNM
231720_s_at,0.00616336,2.74244191,JAM3
218985_at,0.00616614,-1.86376591,SLC2A8
210469_at,0.00616965,-2.55722049,DLG5
231535_x_at,0.00619116,-2.3550195,ROPN1
227043_at,0.00621874,1.92892685,CCDC159
241944_x_at,0.00624253,1.75447356,
231905_at,0.00624617,2.40848546,C20orf96
240517_at,0.00624646,-1.86965354,CBS
225089_at,0.00626079,1.88801368,USP40
234881_at,0.00629293,-2.12598234,
240476_at,0.00629897,-1.80196713,
234893_s_at,0.00630877,-2.54222143,DNAH6
214398_s_at,0.00630887,2.02047207,IKBKE
210827_s_at,0.00634404,1.86209505,ELF3
1569819_at,0.00636396,-2.32277273,LOC101928818///PWRN1
237269_at,0.0063732,2.37430488,
228938_at,0.00640299,3.03454224,MBP
1562754_at,0.00642506,-2.83296399,LOC339260
207582_at,0.00649018,-1.86379997,PIN1P1
207558_s_at,0.00655685,-2.4406073,PITX2
202718_at,0.00655831,-1.75811289,IGFBP2
220977_x_at,0.00656329,-1.77627883,EPB41L5
219495_s_at,0.00656698,-3.01641586,ZNF180
220299_at,0.00659629,-2.03437349,SPATA6
207427_at,0.0066755,-2.47685511,ACR
1564044_at,0.00667621,1.90454547,KNCN
231906_at,0.00668928,-2.54175291,HOXD8
1567028_s_at,0.0067255,2.32156923,SH3GL1P2
1560262_at,0.00673997,2.28191297,
207018_s_at,0.00674897,-1.39266381,RAB27B
228300_at,0.00675253,-2.08941401,FAM187A///CCDC103
234806_at,0.00676893,1.85093238,ORF1
217423_at,0.006802,-1.73862691,
215365_at,0.00680236,-1.65414225,CACNB2
1556850_at,0.00681162,2.74547319,CEP290
